,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
105,Karen McCormick,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Advanced,None,1.0,-24.68,64.629997,Yes,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
107,Jason Crow,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Advanced,None,1.0,5.4200001,65.940002,Yes,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
108,Levi Tillemann,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Lost,None,0.0,5.4200001,34.060001,No,0.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2
109,Stacey Abrams,GA,Governor of Georgia,Governor,Regular,5/22/18,Advanced,None,1.0,-8.3400002,76.440002,Yes,1.0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,2
110,Stacey Evans,GA,Governor of Georgia,Governor,Regular,5/22/18,Lost,None,0.0,-8.3400002,23.559999,No,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
111,Barbara Seidman,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Lost,None,0.0,-17.379999,32.459999,No,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
112,Lisa Ring,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Advanced,None,1.0,-17.379999,67.540001,Yes,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2
113,Chalis Montgomery,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Lost,None,0.0,-28.209999,26.459999,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
114,Richard Dien Winfield,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Lost,None,0.0,-28.209999,23.33,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
115,Tabitha Johnson-Green,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Advanced,None,1.0,-28.209999,50.200001,Yes,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
117,Francys Johnson,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Advanced,None,1.0,-17.629999,52.860001,Yes,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
118,Robert Ingham,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Lost,None,0.0,-17.629999,31.15,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
119,Trent Nesmith,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Lost,None,0.0,-17.629999,15.99,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
121,Chuck Enderlin,GA,U.S. House Georgia District 3,Representative,Regular,5/22/18,Advanced,None,1.0,-34.380001,59.869999,Yes,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
122,Rusty Oliver,GA,U.S. House Georgia District 3,Representative,Regular,5/22/18,Lost,None,0.0,-34.380001,40.130001,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
123,Bobby Kaple,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,None,0.0,-9.4799995,26.25,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
