,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,dist_num,District Abbrev,total_runners
91,trent nesmith,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Lost,None,0,-17.629999,15.99,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,12,GA-12,3
93,chuck enderlin,GA,U.S. House Georgia District 3,Representative,Regular,5/22/18,Advanced,None,1,-34.380001,59.869999,Yes,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3,GA-3,2
94,rusty oliver,GA,U.S. House Georgia District 3,Representative,Regular,5/22/18,Lost,None,0,-34.380001,40.130001,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3,GA-3,2
95,bobby kaple,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,None,0,-9.4799995,26.25,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,,,,,,,,,6,GA-6,4
96,kevin abel,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Advanced,Lost,0,-9.4799995,30.540001,No,0,0.0,0.0,0.0,0,1.0,0.0,,No,No,,,,,,,,,,,6,GA-6,4
97,lucy mcbath,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Advanced,Advanced,1,-9.4799995,36.27,Yes,1,0.0,0.0,0.0,0,1.0,0.0,,Yes,Yes,,,,,,,,,,,6,GA-6,4
98,steven knight griffin,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,None,0,-9.4799995,6.9499998,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,,,,,,,,,6,GA-6,4
99,carolyn bourdeaux,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,Advanced,1,-12.73,27.280001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,Yes,,,,,No,,,,,,,7,GA-7,6
100,david kim,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,Lost,0,-12.73,25.98,No,1,0.0,0.0,0.0,1,0.0,0.0,,No,,,,,No,,,,,,,7,GA-7,6
101,ethan pham,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,0,-12.73,17.84,No,1,0.0,0.0,0.0,0,0.0,0.0,,No,,,,,No,,,,,,,7,GA-7,6
